Sex,NumVics,Age1stKill,AgeLastKill,Age Group,# Male,# Female,Race of Victim,# White,# Black,# Hisp,#Asian,AgeKill,AgeSeries,,,,,,,
1,2,24,25,20,0,2,1,2,0,0,0,24,24,,,,,,,
1,5,21,25,20,,,1,5,0,0,0, , ,,,,,,,
1,14,18,18,10,7,6,,,,,,18,18,,,,,,,
1,33,15,20,10,33,0,4,0,0,0,33,,,,,,,,,
1,2,25,26,20,1,1,7,1,0,0,1,25,25,,,,,,,
1,3,37,37,30,1,2,,,2,,,37,37,,,,,,,
1,3,30,30,30,3,0,2,0,3,0,0,30,30,,,,,,,
1,6,22,45,20,2,4,2,0,6,0,0,22,22,,,,,,,
1,5,16,16,10,1,4,1,5,0,0,0,16,16,,,,,,,
1,4,40,43,40,0,4,3,0,0,4,0,,,,,,,,,
1,3,46,46,40,3,0,3,0,0,3,0,46,46,,,,,,,
1,10,,23,20,0,10,4,0,0,0,10, , ,,,,,,,
2,11,40,48,40,0,11,3,0,0,11,0,40,40,,,,,,,
1,8,27,34,20,,,1,8,0,0,0,27,27,,,,,,,
1,4,22,24,20,1,3,7,3,,1,0,22,22,,,,,,,
1,3,45,50,40,0,3,1,3,0,0,0,45,45,,,,,,,
1,71,43,57,40,0,71,3,0,0,71,0,43,43,,,,,,,
1,4,18,20,10,,,,,,,,,,,,,,,,
1,2,26,36,20,2,0,2,0,2,0,0,26,26,,,,,,,
2,7,36,45,30,5,2,1,7,0,0,0,36,36,,,,,,,
1,2,21,22,20,2,0,7,1,0,1,0,21,21,,,,,,,
1,3,23,37,20,0,3,1,3,0,0,0,23,23,,,,,,,
1,3,25,26,20,0,3,1,3,0,0,0,25,25,,,,,,,
2,20,18,18,10,21,33,7,10,53,0,0,18,18,,,,,,,
1,3,18,30,10,,,,,,,,18,18,,,,,,,
1,2,41,55,40,1,1,1,2,0,0,0,41,41,,,,,,,
1,2,55,55,50,2,0,5,0,0,0,0,55,55,,,,,,,
1,3,44,44,40,0,3,2,0,3,0,0,44,44,,,,,,,
1,2,26,35,20,0,2,1,2,0,0,0,26,26,,,,,,,
1,2,18,20,10,2,0,7,1,1,0,0,18,18,,,,,,,
2,3,18,20,10,3,0,1,3,0,0,0,18,18,,,,,,,
1,6,22,26,20,5,1,2,0,6,0,0,22,22,,,,,,,
1,5,18,32,10,0,5,1,5,0,0,0,18,30,,,,,,,
1,3,22,22,20,2,1,1,3,0,0,0,22,22,,,,,,,
1,9,25,26,20,3,0,1,3,0,0,0,25,25,,,,,,,
1,2,34,35,30,1,1,3,0,0,2,0,34,34,,,,,,,
1,2,33,47,30,,,,,,,,,,,,,,,,
1,3,28,64,20,0,3,1,3,0,0,0,28,28,,,,,,,
1,2,27,27,20,0,2,1,2,0,0,0,27,27,,,,,,,
1,2,31,37,30,0,2,1,2,0,0,0,31,31,,,,,,,
1,4,22,22,20,6,0,7,1,1,2,0,22,22,,,,,,,
